Family,Category,SuggestedName,Conflict
MHT-ME-FAM-Room Tags,Room Tags,MHT-ME-FAM-Room Tags,
MHT-ME-GM-Spatial,Generic Models,MHT-ME-GM-Spatial,
MHT-ME-FAM-Room Tag - Lighting,Room Tags,MHT-ME-FAM-Room Tag - Lighting,
MHT-ME-FAM-Room Tag,Room Tags,MHT-ME-FAM-Room Tag,
MHT-ME-FAM-Balancing Damper - Round-02,Duct Accessories,MHT-ME-FAM-Balancing Damper - Round-02,
MHT-ME-FAM-Control Damper - Opposed Blade,Duct Accessories,MHT-ME-FAM-Control Damper - Opposed Blade,
MHT-ME-FAM-Control Damper - Parallel Blade,Duct Accessories,MHT-ME-FAM-Control Damper - Parallel Blade,
MHT-ME-DF-Discharge Cowl - Flanged,Duct Fittings,MHT-ME-DF-23,DUP
MHT-ME-DF-Rectangular Duct Union - Canvas,Duct Fittings,MHT-ME-DF---DN54,
MHT-ME-FAM-Structural Foundations,Structural Foundations,MHT-ME-FAM-Structural Foundations,
MHT-ME-GM-Steel Plate,Generic Models,MHT-ME-GM-Steel Plate,
MHT-ME-FAM-02-03,Level Heads,MHT-ME-FAM-02-03,
MHT-ME-FAM-Elbow - Generic-03,Pipe Fittings,MHT-ME-FAM-Elbow - Generic-03,
MHT-ME-FAM-Tee - Generic-04,Pipe Fittings,MHT-ME-FAM-Tee - Generic-04,
MHT-ME-FAM-Transition - Generic-04,Pipe Fittings,MHT-ME-FAM-Transition - Generic-04,
MHT-ME-FAM-Coupling - Generic-04,Pipe Fittings,MHT-ME-FAM-Coupling - Generic-04,
MHT-ME-FAM-Cross - Generic-03,Pipe Fittings,MHT-ME-FAM-Cross - Generic-03,
MHT-ME-FAM-Tap-02,Pipe Fittings,MHT-ME-FAM-Tap-02,
MHT-ME-FAM-Cross - Flanged - CS - Class 150,Pipe Fittings,MHT-ME-FAM-Cross - Flanged - CS - Class 150,
MHT-ME-FAM-Coupling - Threaded - MI - Class 150-02,Pipe Fittings,MHT-ME-FAM-Coupling - Threaded - MI - Class 150-02,
MHT-ME-FAM-Coupling Concentric Reducing - Threaded - MI - Class 150-02,Pipe Fittings,MHT-ME-FAM-Coupling Concentric Reducing - Threaded - MI - Class 150-02,
MHT-ME-FAM-Elbow - Threaded - MI - Class 150-02,Pipe Fittings,MHT-ME-FAM-Elbow - Threaded - MI - Class 150-02,
MHT-ME-FAM-Tee Reducing - Threaded - MI - Class 150-02,Pipe Fittings,MHT-ME-FAM-Tee Reducing - Threaded - MI - Class 150-02,
MHT-ME-FAM-Balancing Damper - Rectangular-02,Duct Accessories,MHT-ME-FAM-Balancing Damper - Rectangular-02,
MHT-ME-FAM-Filter - Bag,Duct Accessories,MHT-ME-FAM-Filter - Bag,
MHT-ME-FAM-Filter - Cartridge,Duct Accessories,MHT-ME-FAM-Filter - Cartridge,
MHT-ME-FAM-Filter - Panel - Angle,Duct Accessories,MHT-ME-FAM-Filter - Panel - Angle,
MHT-ME-FAM-Filter - Panel - Flat,Duct Accessories,MHT-ME-FAM-Filter - Panel - Flat,
MHT-ME-FAM-Fire Damper - Rectangular - Simple-02,Duct Accessories,MHT-ME-FAM-Fire Damper - Rectangular - Simple-02,
MHT-ME-FAM-Fire Damper - Round-02,Duct Accessories,MHT-ME-FAM-Fire Damper - Round-02,
MHT-ME-FAM-Motorised Damper - Rectangular-02,Duct Accessories,MHT-ME-FAM-Motorised Damper - Rectangular-02,
MHT-ME-FAM-Motorised Damper - Round-02,Duct Accessories,MHT-ME-FAM-Motorised Damper - Round-02,
MHT-ME-FAM-Non-Return Back-Draught Damper - Rectangular,Duct Accessories,MHT-ME-FAM-Non-Return Back-Draught Damper - Rectangular,
MHT-ME-FAM-Non-Return Back-Draught Damper - Round-02,Duct Accessories,MHT-ME-FAM-Non-Return Back-Draught Damper - Round-02,
MHT-ME-FAM-Smoke Damper - Rectangular-02,Duct Accessories,MHT-ME-FAM-Smoke Damper - Rectangular-02,
MHT-ME-FAM-Smoke Damper - Round-02,Duct Accessories,MHT-ME-FAM-Smoke Damper - Round-02,
MHT-ME-FAM-Volume Control Damper - Manual - Rectangular,Duct Accessories,MHT-ME-FAM-Volume Control Damper - Manual - Rectangular,
MHT-ME-FAM-Volume Control Damper - Rectangular-02,Duct Accessories,MHT-ME-FAM-Volume Control Damper - Rectangular-02,
MHT-ME-FAM-Volume Control Damper - Round-02,Duct Accessories,MHT-ME-FAM-Volume Control Damper - Round-02,
MHT-ME-FAM-Elbow Back Plate Long - Press-Fit - CU,Pipe Fittings,MHT-ME-FAM-Elbow Back Plate Long - Press-Fit - CU,
MHT-ME-FAM-Bend Long Radius - Flanged - DI - PN 10,Pipe Fittings,MHT-ME-FAM-Bend Long Radius - Flanged - DI - PN 10,
MHT-ME-FAM-Elbow - Press-Fit - CU,Pipe Fittings,MHT-ME-FAM-Elbow - Press-Fit - CU,
MHT-ME-GM-G-Plinth Concrete - Adjustable Height,Generic Models,MHT-ME-GM-G-Plinth Concrete - Adjustable Height,
MHT-ME-MEQ-S-42-093-SPL-TC (ECO-505GLNST),Mechanical Equipment,MHT-ME-MEQ-S-42-093-SPL-TC (ECO-505GLNST),
MHT-ME-MEQ-Storage Tank,Mechanical Equipment,MHT-ME-MEQ-Storage Tank,
MHT-ME-FAM-Bend - Push-Fit - SS,Pipe Fittings,MHT-ME-FAM-Bend - Push-Fit - SS,
MHT-ME-FAM-Bend Double Bend Long Radius - Push-Fit - SS,Pipe Fittings,MHT-ME-FAM-Bend Double Bend Long Radius - Push-Fit - SS,
MHT-ME-FAM-Bend Long Radius - Push-Fit - SS,Pipe Fittings,MHT-ME-FAM-Bend Long Radius - Push-Fit - SS,
MHT-ME-GM-Walk Zone,Generic Models,MHT-ME-GM-Walk Zone,
MHT-ME-MEQ-Air-Separator-Taco-AC-Threaded-Supported,Mechanical Equipment,MHT-ME-MEQ-Pump-DN192-UND,
MHT-PL-PACC-M-Separator-Dirt-MEPcontent-Spirotech-SpiroTrap BE-INT-EN,Pipe Accessories,MHT-PL-PACC-M-Separator-Dirt-MEPcontent-Spirotech-SpiroTrap BE-INT-EN,
MHT-ME-MEQ-5527 - Chiller - YZ - 3D Drawings,Mechanical Equipment,MHT-ME-MEQ-5527 - Chiller - YZ - 3D Drawings,
MHT-ME-FAM-Equipment Tag-FamilyName,Mechanical Equipment Tags,MHT-ME-FAM-Equipment Tag-FamilyName,
MHT-ME-GM-Access Zone,Generic Models,MHT-ME-GM-Access Zone,
MHT-ME-GM-Pipe Zone,Generic Models,MHT-ME-GM-Pipe Zone,
MHT-PL-PACC-Air Separator with Strainer - Inline Tangential - 50-65 mm - Threaded,Pipe Accessories,MHT-PL-PACC-Air Separator with Strainer - Inline Tangential - 50-65 mm - Threaded,
MHT-PL-PACC-Air Separator with Strainer - Tangential - 80-350 mm - Flanged,Pipe Accessories,MHT-PL-PACC-Air Separator with Strainer - Tangential - 80-350 mm - Flanged,
MHT-ME-FAM-Cap Pressed End - Welded - SS,Pipe Fittings,MHT-ME-FAM-Cap Pressed End - Welded - SS,
MHT-ME-FAM-Cross - Welded - SS,Pipe Fittings,MHT-ME-FAM-Cross - Welded - SS,
MHT-ME-FAM-Elbow - Welded - SS,Pipe Fittings,MHT-ME-FAM-Elbow - Welded - SS,
MHT-ME-FAM-Flange with Pressed Collar - Lap Joint - SS - PN 10,Pipe Fittings,MHT-ME-FAM-Flange with Pressed Collar - Lap Joint - SS - PN 10,
MHT-ME-FAM-Reducer Concentric - Welded - SS,Pipe Fittings,MHT-ME-FAM-Reducer Concentric - Welded - SS,
MHT-ME-FAM-Reducer Eccentric - Welded - SS,Pipe Fittings,MHT-ME-FAM-Reducer Eccentric - Welded - SS,
MHT-ME-FAM-Tee - Welded - SS,Pipe Fittings,MHT-ME-FAM-Tee - Welded - SS,
MHT-ME-FAM-Access Pipe - Push-Fit - SS,Pipe Fittings,MHT-ME-FAM-Access Pipe - Push-Fit - SS,
MHT-ME-FAM-Bend Access - Push-Fit - SS,Pipe Fittings,MHT-ME-FAM-Bend Access - Push-Fit - SS,
MHT-ME-FAM-Branch - Push-Fit - SS,Pipe Fittings,MHT-ME-FAM-Branch - Push-Fit - SS,
MHT-ME-FAM-Branch 45 Deg Double - Push-Fit - SS,Pipe Fittings,MHT-ME-FAM-Branch 45 Deg Double - Push-Fit - SS,
MHT-ME-FAM-Branch 45 Deg Oblique - Push-Fit - SS,Pipe Fittings,MHT-ME-FAM-Branch 45 Deg Oblique - Push-Fit - SS,
MHT-ME-FAM-Branch 87.5 Deg Double Corner - Push-Fit - SS,Pipe Fittings,MHT-ME-FAM-Branch 87.5 Deg Double Corner - Push-Fit - SS,
MHT-ME-FAM-Branch 87.5 Deg Extended Swept - Push-Fit - SS,Pipe Fittings,MHT-ME-FAM-Branch 87.5 Deg Extended Swept - Push-Fit - SS,
MHT-ME-FAM-Branch 87.5 Deg Extended Swept Double - Push-Fit - SS,Pipe Fittings,MHT-ME-FAM-Branch 87.5 Deg Extended Swept Double - Push-Fit - SS,
MHT-ME-FAM-Branch 87.5 Deg Rear Access - Push-Fit - SS,Pipe Fittings,MHT-ME-FAM-Branch 87.5 Deg Rear Access - Push-Fit - SS,
MHT-ME-FAM-Branch 87.5 Deg Swept - Push-Fit - SS,Pipe Fittings,MHT-ME-FAM-Branch 87.5 Deg Swept - Push-Fit - SS,
MHT-ME-FAM-Branch Double - Push-Fit - SS,Pipe Fittings,MHT-ME-FAM-Branch Double - Push-Fit - SS,
MHT-ME-FAM-Manifold Double Branch - Push-Fit - SS,Pipe Fittings,MHT-ME-FAM-Manifold Double Branch - Push-Fit - SS,
MHT-ME-FAM-Manifold Waste - Push-Fit - SS,Pipe Fittings,MHT-ME-FAM-Manifold Waste - Push-Fit - SS,
MHT-ME-FAM-Plug Socket - Push-Fit - SS,Pipe Fittings,MHT-ME-FAM-Plug Socket - Push-Fit - SS,
MHT-ME-FAM-Reducer Concentric - Push-Fit - SS,Pipe Fittings,MHT-ME-FAM-Reducer Concentric - Push-Fit - SS,
MHT-ME-FAM-Reducer Eccentric - Push-Fit - SS,Pipe Fittings,MHT-ME-FAM-Reducer Eccentric - Push-Fit - SS,
MHT-ME-FAM-Socket Sliding Ring Seal - Push-Fit - SS,Pipe Fittings,MHT-ME-FAM-Socket Sliding Ring Seal - Push-Fit - SS,
MHT-ME-FAM-Trap Bottle - Push-Fit - SS,Pipe Fittings,MHT-ME-FAM-Trap Bottle - Push-Fit - SS,
MHT-ME-FAM-Trap P - Push-Fit - SS,Pipe Fittings,MHT-ME-FAM-Trap P - Push-Fit - SS,
MHT-ME-FAM-Trap Tubular - Push-Fit - SS,Pipe Fittings,MHT-ME-FAM-Trap Tubular - Push-Fit - SS,
MHT-ME-FAM-Titleblock-Documentation-Vertical-A1,Title Blocks,MHT-ME-FAM-Titleblock-Documentation-Vertical-A1,
Anno_Tag_Mechanical_Equipment,Mechanical Equipment Tags,MHT-ME-FAM-Anno-Tag-Mechanical-Equipment,
Anno_Tag_Specialty_Equipment,Specialty Equipment Tags,MHT-ME-FAM-Anno-Tag-Specialty-Equipment,
Mechanical Equipment Set Tag,Mechanical Equipment Set Tags,MHT-ME-FAM-Equipment Set Tag,
MHT-ME-MEQ-AccessPanelAHU,Mechanical Equipment,MHT-ME-MEQ-Air-Handling-Unit-UND,
MHT-ME-MEQ-OVERSIZE - 6 Pole,Mechanical Equipment,MHT-ME-MEQ-Pump-DN23-UND,
MHT-ME-MEQ-OVERSIZE-2 Pole,Mechanical Equipment,MHT-ME-MEQ-Pump-DN17-UND,
Mechanical Equipment Tag,Mechanical Equipment Tags,MHT-ME-FAM-Equipment Tag,
MHT-ME-MEQ-2764 - Chiller-gm,Mechanical Equipment,MHT-ME-MEQ-Pump-DN1034-UND,
MHT-ME-MEQ-5527 - Chiller-gm,Mechanical Equipment,MHT-ME-MEQ-Pump-UND-UND,
MHT-ME-AT-1200 mmx600 mm,Air Terminals,MHT-ME-AT-SAD-DN1200,
MHT-ME-AT-150 mmø,Air Terminals,MHT-ME-AT-SAD-DN150,
MHT-ME-AT-200 mmø,Air Terminals,MHT-ME-AT-SAD-DN200,
MHT-ME-AT-200 mmx200 mm,Air Terminals,MHT-ME-AT-EAD-DN200,
MHT-ME-MEQ-70HP REVIT,Mechanical Equipment,MHT-ME-MEQ-Pump-DN4000-UND,
EQU_VSD1,Mechanical Equipment,MHT-ME-MEQ-VSD1,
MHT-ME-GM-Coil Pull Out Zone,Generic Models,MHT-ME-GM-Coil Pull Out Zone,
EQU_VSD,Mechanical Equipment,MHT-ME-MEQ-VSD,
Metalaire 7650  Supply,Air Terminals,MHT-ME-AT-SUPPLY-DN25,
Supply Diffuser - Perforated - Rectangular Neck - Ceiling Mounted,Air Terminals,MHT-ME-AT-SUPPLY-DN152,
Supply Diffuser - Perforated - Rectangular Neck - Ceiling Mounted_500 x 1000,Air Terminals,MHT-ME-AT-SAD-DN500,
Heat Exchanger (Sondex)_ƒm,Mechanical Equipment,MHT-ME-MEQ-Heat Exchanger (Sondex)-ƒm,
duraflex AIR-DIRT-SEPARTOR,Pipe Accessories,MHT-PL-PACC-duraflex AIR-DIRT-SEPARTOR,
CMC_Plinth,Mechanical Equipment,MHT-ME-MEQ-Plinth,
ƒ_LevelHead,Level Heads,MHT-ME-FAM-ƒ-LevelHead,
MHT-ME-FAM-AHU-XX,Generic Annotations,MHT-ME-FAM-XX-01,DUP
MHT-ANNOTATION_XX,Generic Annotations,MHT-ME-FAM-XX-02,DUP
MHT-ME-FAM-Airfilter-01,Generic Annotations,MHT-ME-FAM-Airfilter-01,
MHT-ME-ANNOTATE-RAC,Generic Annotations,MHT-ME-FAM-ANNOTATE-RAC,
HVAC_Cooling-Tower_Evapco_AT_SCSFS,Mechanical Equipment,MHT-ME-MEQ-Pump-DN752-UND,
MHT-ME-CHILLER PLINTH,Generic Models,MHT-ME-GM-CHILLER PLINTH,
MHT_ME_Air Handling Unit,Mechanical Equipment,MHT-ME-MEQ-Air-Handling-Unit-DN4600-UND,
AccessPanelAHU,Mechanical Equipment,MHT-ME-MEQ-Air-Handling-Unit-DN2000-UND,
MHT_ME_EQ_CoolingTower_Evapco,Mechanical Equipment,MHT-ME-MEQ-Pump-DN229-UND,
